lcl|PEKT02000007.1_mrna_1	B9J08_002585
lcl|PEKT02000007.1_mrna_61	B9J08_002645
lcl|PEKT02000007.1_mrna_62	B9J08_002646
lcl|PEKT02000007.1_mrna_63	B9J08_002647
lcl|PEKT02000007.1_mrna_64	B9J08_002648
lcl|PEKT02000007.1_mrna_65	B9J08_002649
lcl|PEKT02000007.1_mrna_66	B9J08_002650
lcl|PEKT02000007.1_mrna_67	B9J08_002651
lcl|PEKT02000007.1_mrna_68	B9J08_002652
lcl|PEKT02000007.1_mrna_69	B9J08_002653
lcl|PEKT02000007.1_mrna_70	B9J08_002654
lcl|PEKT02000007.1_mrna_71	B9J08_002655
lcl|PEKT02000007.1_mrna_72	B9J08_002656
lcl|PEKT02000007.1_mrna_73	B9J08_002657
lcl|PEKT02000007.1_trna_74	B9J08_002658
lcl|PEKT02000007.1_mrna_75	B9J08_002659
lcl|PEKT02000007.1_mrna_76	B9J08_002660
lcl|PEKT02000007.1_mrna_77	B9J08_002661
lcl|PEKT02000007.1_mrna_78	B9J08_002662
lcl|PEKT02000007.1_mrna_79	B9J08_002663
lcl|PEKT02000007.1_mrna_80	B9J08_002664
lcl|PEKT02000007.1_mrna_81	B9J08_002665
lcl|PEKT02000007.1_mrna_82	B9J08_002666
lcl|PEKT02000007.1_mrna_83	B9J08_002667
lcl|PEKT02000007.1_mrna_84	B9J08_002668
lcl|PEKT02000007.1_mrna_85	B9J08_002669
lcl|PEKT02000007.1_mrna_86	B9J08_002670
lcl|PEKT02000007.1_mrna_87	B9J08_002671
lcl|PEKT02000007.1_mrna_88	B9J08_002672
lcl|PEKT02000007.1_mrna_89	B9J08_002673
lcl|PEKT02000007.1_mrna_90	B9J08_002674
lcl|PEKT02000007.1_mrna_91	B9J08_002675
lcl|PEKT02000007.1_mrna_92	B9J08_002676
lcl|PEKT02000007.1_mrna_93	B9J08_002677
lcl|PEKT02000007.1_mrna_94	B9J08_002678
lcl|PEKT02000007.1_mrna_95	B9J08_002679
lcl|PEKT02000007.1_mrna_96	B9J08_002680
lcl|PEKT02000007.1_mrna_97	B9J08_002681
lcl|PEKT02000007.1_mrna_98	B9J08_002682
lcl|PEKT02000007.1_mrna_99	B9J08_002683
lcl|PEKT02000007.1_mrna_100	B9J08_002684
lcl|PEKT02000007.1_mrna_101	B9J08_002685
lcl|PEKT02000007.1_mrna_102	B9J08_002686
lcl|PEKT02000007.1_mrna_103	B9J08_002687
lcl|PEKT02000007.1_mrna_104	B9J08_002688
lcl|PEKT02000007.1_mrna_105	B9J08_002689
lcl|PEKT02000007.1_mrna_106	B9J08_002690
lcl|PEKT02000007.1_mrna_107	B9J08_002691
lcl|PEKT02000007.1_mrna_108	B9J08_002692
lcl|PEKT02000007.1_mrna_109	B9J08_002693
lcl|PEKT02000007.1_mrna_110	B9J08_002694
lcl|PEKT02000007.1_mrna_111	B9J08_002695
lcl|PEKT02000007.1_mrna_112	B9J08_002696
lcl|PEKT02000007.1_mrna_113	B9J08_002697
lcl|PEKT02000007.1_mrna_114	B9J08_002698
lcl|PEKT02000007.1_mrna_115	B9J08_002699
lcl|PEKT02000007.1_trna_116	B9J08_002700
lcl|PEKT02000007.1_mrna_117	B9J08_002701
lcl|PEKT02000007.1_mrna_118	B9J08_002702
lcl|PEKT02000007.1_mrna_119	B9J08_002703
lcl|PEKT02000007.1_mrna_120	B9J08_002704
lcl|PEKT02000007.1_mrna_121	B9J08_002705
lcl|PEKT02000007.1_mrna_122	B9J08_002706
lcl|PEKT02000007.1_mrna_123	B9J08_002707
lcl|PEKT02000007.1_mrna_124	B9J08_002708
lcl|PEKT02000007.1_mrna_125	B9J08_002709
lcl|PEKT02000007.1_mrna_126	B9J08_002710
lcl|PEKT02000007.1_mrna_127	B9J08_002711
lcl|PEKT02000007.1_mrna_128	B9J08_002712
lcl|PEKT02000007.1_mrna_129	B9J08_002713
lcl|PEKT02000007.1_mrna_130	B9J08_002714
lcl|PEKT02000007.1_mrna_131	B9J08_002715
lcl|PEKT02000007.1_trna_132	B9J08_002716
lcl|PEKT02000007.1_mrna_133	B9J08_002717
lcl|PEKT02000007.1_mrna_134	B9J08_002718
lcl|PEKT02000007.1_mrna_135	B9J08_002719
lcl|PEKT02000007.1_mrna_136	B9J08_002720
lcl|PEKT02000007.1_mrna_137	B9J08_002721
lcl|PEKT02000007.1_mrna_138	B9J08_002722
lcl|PEKT02000007.1_mrna_139	B9J08_002723
lcl|PEKT02000007.1_mrna_140	B9J08_002724
lcl|PEKT02000007.1_mrna_141	B9J08_002725
lcl|PEKT02000007.1_mrna_142	B9J08_002726
lcl|PEKT02000007.1_mrna_143	B9J08_002727
lcl|PEKT02000007.1_mrna_144	B9J08_002728
lcl|PEKT02000007.1_mrna_145	B9J08_002729
lcl|PEKT02000007.1_mrna_146	B9J08_002730
lcl|PEKT02000007.1_mrna_147	B9J08_002731
lcl|PEKT02000007.1_mrna_148	B9J08_002732
lcl|PEKT02000007.1_mrna_149	B9J08_002733
lcl|PEKT02000007.1_mrna_150	B9J08_002734
lcl|PEKT02000007.1_mrna_151	B9J08_002735
lcl|PEKT02000007.1_mrna_152	B9J08_002736
lcl|PEKT02000007.1_mrna_153	B9J08_002737
lcl|PEKT02000007.1_mrna_154	B9J08_002738
lcl|PEKT02000007.1_mrna_155	B9J08_002739
lcl|PEKT02000007.1_mrna_156	B9J08_002740
lcl|PEKT02000007.1_mrna_157	B9J08_002741
lcl|PEKT02000007.1_mrna_158	B9J08_002742
lcl|PEKT02000007.1_mrna_159	B9J08_002743
lcl|PEKT02000007.1_mrna_160	B9J08_002744
lcl|PEKT02000007.1_mrna_161	B9J08_002745
lcl|PEKT02000007.1_mrna_162	B9J08_002746
lcl|PEKT02000007.1_mrna_163	B9J08_002747
lcl|PEKT02000007.1_mrna_164	B9J08_002748
lcl|PEKT02000007.1_mrna_165	B9J08_002749
lcl|PEKT02000007.1_mrna_166	B9J08_002750
lcl|PEKT02000007.1_mrna_167	B9J08_002751
lcl|PEKT02000007.1_mrna_168	B9J08_002752
lcl|PEKT02000007.1_mrna_169	B9J08_002753
lcl|PEKT02000007.1_mrna_170	B9J08_002754
lcl|PEKT02000007.1_mrna_171	B9J08_002755
lcl|PEKT02000007.1_mrna_172	B9J08_002756
lcl|PEKT02000007.1_mrna_173	B9J08_002757
lcl|PEKT02000007.1_mrna_174	B9J08_002758
lcl|PEKT02000007.1_mrna_175	B9J08_002759
lcl|PEKT02000007.1_mrna_176	B9J08_002760
lcl|PEKT02000007.1_mrna_177	B9J08_002761
lcl|PEKT02000007.1_mrna_178	B9J08_002762
lcl|PEKT02000007.1_mrna_179	B9J08_002763
lcl|PEKT02000007.1_mrna_180	B9J08_002764
lcl|PEKT02000007.1_mrna_181	B9J08_002765
lcl|PEKT02000007.1_mrna_182	B9J08_002766
lcl|PEKT02000007.1_mrna_183	B9J08_002767
lcl|PEKT02000007.1_mrna_184	B9J08_002768
lcl|PEKT02000007.1_mrna_185	B9J08_002769
lcl|PEKT02000007.1_mrna_186	B9J08_002770
lcl|PEKT02000007.1_mrna_187	B9J08_002771
lcl|PEKT02000007.1_mrna_188	B9J08_002772
lcl|PEKT02000007.1_mrna_189	B9J08_002773
lcl|PEKT02000007.1_mrna_190	B9J08_002774
lcl|PEKT02000007.1_mrna_191	B9J08_002775
lcl|PEKT02000007.1_mrna_192	B9J08_002776
lcl|PEKT02000007.1_mrna_193	B9J08_002777
lcl|PEKT02000007.1_mrna_194	B9J08_002778
lcl|PEKT02000007.1_mrna_195	B9J08_002779
lcl|PEKT02000007.1_mrna_196	B9J08_002780
lcl|PEKT02000007.1_mrna_197	B9J08_002781
lcl|PEKT02000007.1_mrna_198	B9J08_002782
lcl|PEKT02000007.1_mrna_199	B9J08_002783
lcl|PEKT02000007.1_mrna_200	B9J08_002784
lcl|PEKT02000007.1_mrna_201	B9J08_002785
lcl|PEKT02000007.1_mrna_202	B9J08_002786
lcl|PEKT02000007.1_mrna_203	B9J08_002787
lcl|PEKT02000007.1_mrna_204	B9J08_002788
lcl|PEKT02000007.1_mrna_205	B9J08_002789
lcl|PEKT02000007.1_mrna_206	B9J08_002790
lcl|PEKT02000007.1_mrna_207	B9J08_002791
lcl|PEKT02000007.1_mrna_208	B9J08_002792
lcl|PEKT02000007.1_mrna_209	B9J08_002793
lcl|PEKT02000007.1_mrna_210	B9J08_002794
lcl|PEKT02000007.1_mrna_211	B9J08_002795
lcl|PEKT02000007.1_mrna_212	B9J08_002796
lcl|PEKT02000007.1_mrna_213	B9J08_002797
lcl|PEKT02000007.1_mrna_214	B9J08_002798
lcl|PEKT02000007.1_mrna_215	B9J08_002799
lcl|PEKT02000007.1_mrna_216	B9J08_002800
lcl|PEKT02000007.1_mrna_217	B9J08_002801
lcl|PEKT02000007.1_mrna_218	B9J08_002802
lcl|PEKT02000007.1_mrna_219	B9J08_002803
lcl|PEKT02000007.1_mrna_220	B9J08_002804
lcl|PEKT02000007.1_mrna_221	B9J08_002805
lcl|PEKT02000007.1_mrna_222	B9J08_002806
lcl|PEKT02000007.1_mrna_223	B9J08_002807
lcl|PEKT02000007.1_mrna_224	B9J08_002808
lcl|PEKT02000007.1_mrna_225	B9J08_002809
lcl|PEKT02000007.1_mrna_226	B9J08_002810
lcl|PEKT02000007.1_mrna_227	B9J08_002811
lcl|PEKT02000007.1_trna_228	B9J08_002812
lcl|PEKT02000007.1_mrna_229	B9J08_002813
lcl|PEKT02000007.1_mrna_230	B9J08_002814
lcl|PEKT02000007.1_mrna_231	B9J08_002815
lcl|PEKT02000007.1_mrna_232	B9J08_002816
lcl|PEKT02000007.1_mrna_233	B9J08_002817
lcl|PEKT02000007.1_mrna_234	B9J08_002818
lcl|PEKT02000007.1_mrna_235	B9J08_002819
lcl|PEKT02000007.1_mrna_236	B9J08_002820
lcl|PEKT02000007.1_mrna_237	B9J08_002821
lcl|PEKT02000007.1_mrna_238	B9J08_002822
lcl|PEKT02000007.1_mrna_239	B9J08_002823
lcl|PEKT02000007.1_mrna_240	B9J08_002824
lcl|PEKT02000007.1_mrna_241	B9J08_002825
lcl|PEKT02000007.1_mrna_242	B9J08_002826
lcl|PEKT02000007.1_mrna_243	B9J08_002827
lcl|PEKT02000007.1_mrna_244	B9J08_002828
lcl|PEKT02000007.1_mrna_245	B9J08_002829
lcl|PEKT02000007.1_mrna_246	B9J08_002830
lcl|PEKT02000007.1_mrna_247	B9J08_002831
lcl|PEKT02000007.1_mrna_248	B9J08_002832
lcl|PEKT02000007.1_mrna_249	B9J08_002833
lcl|PEKT02000007.1_mrna_250	B9J08_002834
lcl|PEKT02000007.1_mrna_251	B9J08_002835
lcl|PEKT02000007.1_mrna_252	B9J08_002836
lcl|PEKT02000007.1_mrna_253	B9J08_002837
lcl|PEKT02000007.1_mrna_254	B9J08_002838
lcl|PEKT02000007.1_mrna_255	B9J08_002839
lcl|PEKT02000007.1_mrna_256	B9J08_002840
lcl|PEKT02000007.1_mrna_257	B9J08_002841
lcl|PEKT02000007.1_mrna_258	B9J08_002842
lcl|PEKT02000007.1_mrna_259	B9J08_002843
lcl|PEKT02000007.1_mrna_260	B9J08_002844
lcl|PEKT02000007.1_mrna_261	B9J08_002845
lcl|PEKT02000007.1_mrna_262	B9J08_002846
lcl|PEKT02000007.1_mrna_263	B9J08_002847
lcl|PEKT02000007.1_mrna_264	B9J08_002848
lcl|PEKT02000007.1_mrna_265	B9J08_002849
lcl|PEKT02000007.1_mrna_266	B9J08_002850
lcl|PEKT02000007.1_mrna_267	B9J08_002851
lcl|PEKT02000007.1_mrna_268	B9J08_002852
lcl|PEKT02000007.1_mrna_269	B9J08_002853
lcl|PEKT02000007.1_mrna_270	B9J08_002854
lcl|PEKT02000007.1_mrna_271	B9J08_002855
lcl|PEKT02000007.1_mrna_272	B9J08_002856
lcl|PEKT02000007.1_mrna_273	B9J08_002857
lcl|PEKT02000007.1_mrna_274	B9J08_002858
lcl|PEKT02000007.1_mrna_275	B9J08_002859
lcl|PEKT02000007.1_mrna_276	B9J08_002860
lcl|PEKT02000007.1_mrna_277	B9J08_002861
lcl|PEKT02000007.1_mrna_278	B9J08_002862
lcl|PEKT02000007.1_mrna_279	B9J08_002863
lcl|PEKT02000007.1_mrna_280	B9J08_002864
lcl|PEKT02000007.1_mrna_281	B9J08_002865
lcl|PEKT02000007.1_trna_282	B9J08_002866
lcl|PEKT02000007.1_mrna_283	B9J08_002867
lcl|PEKT02000007.1_mrna_284	B9J08_002868
lcl|PEKT02000007.1_mrna_285	B9J08_002869
lcl|PEKT02000007.1_mrna_286	B9J08_002870
lcl|PEKT02000007.1_mrna_287	B9J08_002871
lcl|PEKT02000007.1_mrna_288	B9J08_002872
lcl|PEKT02000007.1_trna_289	B9J08_002873
lcl|PEKT02000007.1_mrna_290	B9J08_002874
lcl|PEKT02000007.1_mrna_291	B9J08_002875
lcl|PEKT02000007.1_mrna_292	B9J08_002876
lcl|PEKT02000007.1_mrna_293	B9J08_002877
lcl|PEKT02000007.1_mrna_294	B9J08_002878
lcl|PEKT02000007.1_mrna_295	B9J08_002879
lcl|PEKT02000007.1_trna_296	B9J08_002880
lcl|PEKT02000007.1_mrna_297	B9J08_002881
lcl|PEKT02000007.1_mrna_298	B9J08_002882
lcl|PEKT02000007.1_mrna_299	B9J08_002883
lcl|PEKT02000007.1_mrna_300	B9J08_002884
lcl|PEKT02000007.1_mrna_301	B9J08_002885
lcl|PEKT02000007.1_mrna_302	B9J08_002886
lcl|PEKT02000007.1_mrna_303	B9J08_002887
lcl|PEKT02000007.1_mrna_304	B9J08_002888
lcl|PEKT02000007.1_mrna_305	B9J08_002889
lcl|PEKT02000007.1_mrna_306	B9J08_002890
lcl|PEKT02000007.1_mrna_307	B9J08_002891
lcl|PEKT02000007.1_mrna_308	B9J08_002892
lcl|PEKT02000007.1_mrna_309	B9J08_002893
lcl|PEKT02000007.1_mrna_310	B9J08_002894
lcl|PEKT02000007.1_mrna_311	B9J08_002895
lcl|PEKT02000007.1_mrna_312	B9J08_002896
lcl|PEKT02000007.1_mrna_313	B9J08_002897
lcl|PEKT02000007.1_mrna_314	B9J08_002898
lcl|PEKT02000007.1_mrna_315	B9J08_002899
lcl|PEKT02000007.1_mrna_316	B9J08_002900
lcl|PEKT02000007.1_mrna_317	B9J08_002901
lcl|PEKT02000007.1_mrna_318	B9J08_002902
lcl|PEKT02000007.1_mrna_319	B9J08_002903
lcl|PEKT02000007.1_mrna_320	B9J08_002904
lcl|PEKT02000007.1_mrna_321	B9J08_002905
lcl|PEKT02000007.1_mrna_322	B9J08_002906
lcl|PEKT02000007.1_mrna_323	B9J08_002907
lcl|PEKT02000007.1_mrna_324	B9J08_002908
lcl|PEKT02000007.1_mrna_325	B9J08_002909
lcl|PEKT02000007.1_mrna_326	B9J08_002910
lcl|PEKT02000007.1_mrna_327	B9J08_002911
lcl|PEKT02000007.1_mrna_328	B9J08_002912
lcl|PEKT02000007.1_mrna_329	B9J08_002913
lcl|PEKT02000007.1_mrna_330	B9J08_002914
lcl|PEKT02000007.1_mrna_331	B9J08_002915
lcl|PEKT02000007.1_mrna_332	B9J08_002916
lcl|PEKT02000007.1_mrna_333	B9J08_002917
lcl|PEKT02000007.1_mrna_334	B9J08_002918
lcl|PEKT02000007.1_mrna_335	B9J08_002919
lcl|PEKT02000007.1_mrna_336	B9J08_002920
lcl|PEKT02000007.1_mrna_337	B9J08_002921
lcl|PEKT02000007.1_mrna_338	B9J08_002922
lcl|PEKT02000007.1_mrna_339	B9J08_002923
lcl|PEKT02000007.1_mrna_340	B9J08_002924
lcl|PEKT02000007.1_mrna_341	B9J08_002925
lcl|PEKT02000007.1_mrna_342	B9J08_002926
lcl|PEKT02000007.1_mrna_343	B9J08_002927
lcl|PEKT02000007.1_mrna_344	B9J08_002928
lcl|PEKT02000007.1_mrna_345	B9J08_002929
lcl|PEKT02000007.1_mrna_346	B9J08_002930
lcl|PEKT02000007.1_mrna_347	B9J08_002931
lcl|PEKT02000007.1_mrna_348	B9J08_002932
lcl|PEKT02000007.1_mrna_349	B9J08_002933
lcl|PEKT02000007.1_mrna_350	B9J08_002934
lcl|PEKT02000007.1_trna_351	B9J08_002935
lcl|PEKT02000007.1_mrna_352	B9J08_002936
lcl|PEKT02000007.1_mrna_353	B9J08_002937
lcl|PEKT02000007.1_mrna_354	B9J08_002938
lcl|PEKT02000007.1_mrna_355	B9J08_002939
lcl|PEKT02000007.1_mrna_356	B9J08_002940
lcl|PEKT02000007.1_mrna_357	B9J08_002941
lcl|PEKT02000007.1_mrna_358	B9J08_002942
lcl|PEKT02000007.1_mrna_359	B9J08_002943
lcl|PEKT02000007.1_mrna_360	B9J08_002944
lcl|PEKT02000007.1_mrna_361	B9J08_002945
lcl|PEKT02000007.1_mrna_362	B9J08_002946
lcl|PEKT02000007.1_mrna_363	B9J08_002947
lcl|PEKT02000007.1_mrna_364	B9J08_002948
lcl|PEKT02000007.1_mrna_365	B9J08_002949
lcl|PEKT02000007.1_mrna_366	B9J08_002950
lcl|PEKT02000007.1_mrna_367	B9J08_002951
lcl|PEKT02000007.1_mrna_368	B9J08_002952
lcl|PEKT02000007.1_mrna_369	B9J08_002953
lcl|PEKT02000007.1_mrna_370	B9J08_002954
lcl|PEKT02000007.1_mrna_371	B9J08_002955
lcl|PEKT02000007.1_mrna_372	B9J08_002956
lcl|PEKT02000007.1_mrna_373	B9J08_002957
lcl|PEKT02000007.1_mrna_374	B9J08_002958
lcl|PEKT02000007.1_mrna_375	B9J08_002959
lcl|PEKT02000007.1_mrna_376	B9J08_002960
lcl|PEKT02000007.1_mrna_377	B9J08_002961
lcl|PEKT02000007.1_mrna_378	B9J08_002962
lcl|PEKT02000007.1_trna_379	B9J08_002963
lcl|PEKT02000007.1_trna_380	B9J08_002964
lcl|PEKT02000007.1_mrna_381	B9J08_002965
lcl|PEKT02000007.1_mrna_382	B9J08_002966
lcl|PEKT02000007.1_mrna_383	B9J08_002967
lcl|PEKT02000007.1_mrna_384	B9J08_002968
lcl|PEKT02000007.1_mrna_385	B9J08_002969
lcl|PEKT02000007.1_mrna_386	B9J08_002970
lcl|PEKT02000007.1_mrna_387	B9J08_002971
lcl|PEKT02000007.1_mrna_388	B9J08_002972
lcl|PEKT02000007.1_mrna_389	B9J08_002973
lcl|PEKT02000007.1_mrna_390	B9J08_002974
lcl|PEKT02000007.1_mrna_391	B9J08_002975
lcl|PEKT02000007.1_mrna_392	B9J08_002976
lcl|PEKT02000007.1_mrna_393	B9J08_002977
lcl|PEKT02000007.1_mrna_394	B9J08_002978
lcl|PEKT02000007.1_mrna_395	B9J08_002979
lcl|PEKT02000007.1_mrna_396	B9J08_002980
lcl|PEKT02000007.1_mrna_397	B9J08_002981
lcl|PEKT02000007.1_mrna_398	B9J08_002982
lcl|PEKT02000007.1_mrna_399	B9J08_002983
lcl|PEKT02000007.1_mrna_400	B9J08_002984
lcl|PEKT02000007.1_mrna_401	B9J08_002985
lcl|PEKT02000007.1_mrna_402	B9J08_002986
lcl|PEKT02000007.1_mrna_403	B9J08_002987
lcl|PEKT02000007.1_mrna_404	B9J08_002988
lcl|PEKT02000007.1_mrna_405	B9J08_002989
lcl|PEKT02000007.1_mrna_406	B9J08_002990
lcl|PEKT02000007.1_mrna_407	B9J08_002991
lcl|PEKT02000007.1_mrna_408	B9J08_002992
lcl|PEKT02000007.1_mrna_409	B9J08_002993
lcl|PEKT02000007.1_mrna_410	B9J08_002994
lcl|PEKT02000007.1_mrna_411	B9J08_002995
lcl|PEKT02000007.1_mrna_412	B9J08_002996
lcl|PEKT02000007.1_mrna_413	B9J08_002997
lcl|PEKT02000007.1_mrna_414	B9J08_002998
lcl|PEKT02000007.1_mrna_415	B9J08_002999
lcl|PEKT02000007.1_mrna_416	B9J08_003000
lcl|PEKT02000007.1_mrna_417	B9J08_003001
lcl|PEKT02000007.1_mrna_418	B9J08_003002
lcl|PEKT02000007.1_mrna_419	B9J08_003003
lcl|PEKT02000007.1_mrna_420	B9J08_003004
lcl|PEKT02000007.1_mrna_421	B9J08_003005
lcl|PEKT02000007.1_mrna_422	B9J08_003006
lcl|PEKT02000007.1_mrna_423	B9J08_003007
lcl|PEKT02000007.1_mrna_424	B9J08_003008
lcl|PEKT02000007.1_mrna_425	B9J08_003009
lcl|PEKT02000007.1_mrna_426	B9J08_003010
lcl|PEKT02000007.1_mrna_427	B9J08_003011
lcl|PEKT02000007.1_mrna_428	B9J08_003012
lcl|PEKT02000007.1_mrna_429	B9J08_003013
lcl|PEKT02000007.1_mrna_430	B9J08_003014
lcl|PEKT02000007.1_mrna_431	B9J08_003015
lcl|PEKT02000007.1_mrna_432	B9J08_003016
lcl|PEKT02000007.1_mrna_433	B9J08_003017
lcl|PEKT02000007.1_mrna_434	B9J08_003018
lcl|PEKT02000007.1_mrna_435	B9J08_003019
lcl|PEKT02000007.1_mrna_436	B9J08_003020
lcl|PEKT02000007.1_mrna_437	B9J08_003021
lcl|PEKT02000007.1_mrna_438	B9J08_003022
lcl|PEKT02000007.1_mrna_439	B9J08_003023
lcl|PEKT02000007.1_mrna_440	B9J08_003024
lcl|PEKT02000007.1_mrna_441	B9J08_003025
lcl|PEKT02000007.1_mrna_442	B9J08_003026
lcl|PEKT02000007.1_mrna_443	B9J08_003027
lcl|PEKT02000007.1_mrna_444	B9J08_003028
lcl|PEKT02000007.1_mrna_445	B9J08_003029
lcl|PEKT02000007.1_mrna_446	B9J08_003030
lcl|PEKT02000007.1_mrna_447	B9J08_003031
lcl|PEKT02000007.1_mrna_448	B9J08_003032
lcl|PEKT02000007.1_mrna_449	B9J08_003033
lcl|PEKT02000007.1_mrna_450	B9J08_003034
lcl|PEKT02000007.1_mrna_451	B9J08_003035
lcl|PEKT02000007.1_mrna_452	B9J08_003036
lcl|PEKT02000007.1_mrna_453	B9J08_003037
lcl|PEKT02000007.1_mrna_454	B9J08_003038
lcl|PEKT02000007.1_mrna_455	B9J08_003039
lcl|PEKT02000007.1_mrna_456	B9J08_003040
lcl|PEKT02000007.1_mrna_457	B9J08_003041
lcl|PEKT02000007.1_mrna_458	B9J08_003042
lcl|PEKT02000007.1_trna_459	B9J08_003043
lcl|PEKT02000007.1_mrna_460	B9J08_003044
lcl|PEKT02000007.1_mrna_461	B9J08_003045
lcl|PEKT02000007.1_mrna_462	B9J08_003046
lcl|PEKT02000007.1_mrna_463	B9J08_003047
lcl|PEKT02000007.1_mrna_464	B9J08_003048
lcl|PEKT02000007.1_mrna_465	B9J08_003049
lcl|PEKT02000007.1_mrna_466	B9J08_003050
lcl|PEKT02000007.1_mrna_467	B9J08_003051
lcl|PEKT02000007.1_trna_468	B9J08_003052
lcl|PEKT02000007.1_mrna_469	B9J08_003053
lcl|PEKT02000007.1_mrna_470	B9J08_003054
lcl|PEKT02000007.1_mrna_471	B9J08_003055
lcl|PEKT02000007.1_mrna_472	B9J08_003056
lcl|PEKT02000007.1_mrna_473	B9J08_003057
lcl|PEKT02000007.1_mrna_474	B9J08_003058
lcl|PEKT02000007.1_mrna_475	B9J08_003059
lcl|PEKT02000007.1_mrna_476	B9J08_003060
lcl|PEKT02000007.1_trna_477	B9J08_003061
lcl|PEKT02000007.1_trna_478	B9J08_003062
lcl|PEKT02000007.1_mrna_479	B9J08_003063
lcl|PEKT02000007.1_trna_480	B9J08_003064
lcl|PEKT02000007.1_mrna_481	B9J08_003065
lcl|PEKT02000007.1_mrna_482	B9J08_003066
lcl|PEKT02000007.1_mrna_483	B9J08_003067
lcl|PEKT02000007.1_mrna_484	B9J08_003068
lcl|PEKT02000007.1_mrna_485	B9J08_003069
lcl|PEKT02000007.1_mrna_486	B9J08_003070
lcl|PEKT02000007.1_trna_487	B9J08_003071
lcl|PEKT02000007.1_trna_488	B9J08_003072
lcl|PEKT02000007.1_mrna_489	B9J08_003073
lcl|PEKT02000007.1_mrna_490	B9J08_003074
lcl|PEKT02000007.1_mrna_491	B9J08_003075
lcl|PEKT02000007.1_mrna_492	B9J08_003076
lcl|PEKT02000007.1_mrna_493	B9J08_003077
lcl|PEKT02000007.1_mrna_494	B9J08_003078
lcl|PEKT02000007.1_mrna_495	B9J08_003079
lcl|PEKT02000007.1_mrna_496	B9J08_003080
lcl|PEKT02000007.1_mrna_497	B9J08_003081
lcl|PEKT02000007.1_mrna_498	B9J08_003082
lcl|PEKT02000007.1_mrna_499	B9J08_003083
